BOTS,ADDI Bot,Alyth Bot,Azure Bot,Cuber Bot,Nico Bot,P4pR,Pigu Bot,Randobot,R0.k,S1sR,Tech Bot,Teto Bot,Rockzu,
ADDI Bot,0,23,-141175,864,579,149899,501,352,149900,150000,-74949,-103,-192,
Alyth Bot,-520,0,-149999,75000,-150000,-149999,-75000,-207,-149999,-149999,75001,18750,-104664,
Azure Bot,141173,150000,-1,-3244,-75000,0,0,-394,-1,-1,74998,0,34864,
Cuber Bot,-589,-75000,51429,0,-143510,149998,51429,-47,150000,149999,-75001,24625,12409,
Nico Bot,-577,-75000,75000,0,0,149999,-150000,284,149999,149999,-75001,18750,104787,
P4pR,-149899,149998,1,-149998,-150000,0,-1,-606,150000,-150000,0,-150000,-1204,
Pigu Bot,-500,75000,-1,-51429,150000,1,0,852,-1,0,-2,18750,-168,
Randobot,761,-29,300,584,22,-294,-218,-181,29,-203,189,224,-633,
R0.k,-149900,150000,0,-150000,-149998,-150000,1,186,0,150000,-150000,-150000,479,
S1sR,-150000,149998,1,-150000,-149999,150000,1,-270,-150000,0,-74999,-149998,220,
Tech Bot,75050,-75001,-75000,75000,75000,150000,2,44,150000,74999,0,75001,7759,
Teto Bot,105,-18750,0,-24625,-18750,150000,-18750,-109,149999,149999,149992,0,73223,
Rockzu,251,105120,-34913,-13212,-105378,-94,-234,-403,806,-925,-7137,-73928,372,
